country,province,top_ten,style,color,sweetness,points,price,count
United States of America,New York,True,Varietal,White,Dry,88,19,2
Italy,Tuscany,True,Varietal,Red,Sweet,87,65,1
Italy,Sicily & Sardinia,False,Blend,White,Dry,87,16,1
France,Rhône Valley,False,Varietal,Red,Bone-Dry,89,21,1
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,92,47,2
Argentina,Mendoza Province,True,Varietal,Red,Sweet,90,15,1
Australia,South Australia,False,Blend,Red,Bone-Dry,90,42,1
Portugal,Alentejano,False,Varietal,Rosé,Bone-Dry,84,15,1
United States of America,Oregon,True,Varietal,White,Sweet,88,21,1
Austria,Niederösterreich,False,Varietal,White,Off-Dry,85,9,1
Italy,Tuscany,True,Varietal,Red,Bone-Dry,91,53,2
Spain,Northern Spain,True,Varietal,,Bone-Dry,90,20,1
Italy,Piedmont,True,Varietal,Red,Dry,89,210,1
United States of America,California,True,Varietal,Red,Bone-Dry,93,116,1
New Zealand,Central Otago,False,Sparkling,White,Dry,86,33,1
Germany,Rheinhessen,False,Varietal,Rosé,Dry,89,13,1
Italy,Southern Italy,False,Blend,Red,Sweet,85,15,1
France,Southwest France,False,Varietal,Red,Dry,94,130,1
United States of America,Washington,True,Blend,Red,Sweet,92,35,1
France,France Other,False,Blend,Red,Dry,84,12,1
Greece,Florina,False,Varietal,Red,Bone-Dry,92,59,1
Portugal,Alentejano,False,Varietal,Red,Bone-Dry,87,11,1
France,Burgundy,True,Varietal,White,Bone-Dry,88,75,5
Australia,South Australia,False,Varietal,Red,Bone-Dry,88,43,1
Italy,Piedmont,True,Varietal,Red,Dry,91,50,4
